Indicator,name
Tax rates,Tax Rates
Corruption,Corruption
Access to ﬁnancing,Access to Financing
Tax regulations,Tax Regulations
Inefﬁcient government bureaucracy,Inefficient Government Bureaucracy
Inadequately educated workforce,Inadequately Educated Workforce
Inﬂation,Inflation
Poor work ethic in national labor force,Poor Work Ethic in Labor Force
Policy instability,Policy Instability
Inadequate supply of infrastructure,Inadequate Supply of Infrastructure
Crime and theft,Crime and Theft
Insufﬁcient capacity to innovate,Insufficient Capacity to Innovate
Government instability/coups,Government Instability/Coups
Poor public health,Poor Public Health
Restrictive labor regulations,Restrictive Labor Regulations
Foreign currency regulations,Foreign Currency Regulations
