Indicator,2017,Country ISO3,id
Tax Rates,21.7,ALB,3282.0
Corruption,16.4,ALB,3276.0
Access to Financing,10.3,ALB,3275.0
Tax Regulations,9.3,ALB,3283.0
Inefficient Government Bureaucracy,7.2,ALB,3279.0
Inadequately Educated Workforce,6.9,ALB,3278.0
Inflation,5.5,ALB,3287.0
Poor Work Ethic in Labor Force,5.4,ALB,3281.0
Policy Instability,5.2,ALB,3280.0
Inadequate Supply of Infrastructure,4.8,ALB,3277.0
Crime and Theft,4.0,ALB,3284.0
Insufficient Capacity to Innovate,1.3,ALB,
Government Instability/Coups,1.2,ALB,3286.0
Poor Public Health,0.7,ALB,3288.0
Restrictive Labor Regulations,0.0,ALB,3289.0
Foreign Currency Regulations,0.0,ALB,3285.0
Inefficient Government Bureaucracy,18.9,DZA,3279.0
Corruption,12.8,DZA,3276.0
Access to Financing,11.8,DZA,3275.0
Policy Instability,9.4,DZA,3280.0
Inflation,7.7,DZA,3287.0
Tax Rates,6.1,DZA,3282.0
Tax Regulations,5.3,DZA,3283.0
Insufficient Capacity to Innovate,5.0,DZA,
Restrictive Labor Regulations,4.5,DZA,3289.0
Foreign Currency Regulations,4.4,DZA,3285.0
Poor Work Ethic in Labor Force,4.3,DZA,3281.0
Inadequately Educated Workforce,3.9,DZA,3278.0
Inadequate Supply of Infrastructure,3.8,DZA,3277.0
Government Instability/Coups,1.7,DZA,3286.0
Crime and Theft,0.2,DZA,3284.0
Poor Public Health,0.2,DZA,3288.0
Inflation,20.7,ARG,3287.0
Tax Rates,20.2,ARG,3282.0
Policy Instability,9.0,ARG,3280.0
Access to Financing,8.2,ARG,3275.0
Restrictive Labor Regulations,7.9,ARG,3289.0
Inefficient Government Bureaucracy,7.5,ARG,3279.0
Corruption,7.0,ARG,3276.0
Tax Regulations,5.9,ARG,3283.0
Inadequate Supply of Infrastructure,4.3,ARG,3277.0
Government Instability/Coups,3.9,ARG,3286.0
Poor Work Ethic in Labor Force,1.9,ARG,3281.0
Inadequately Educated Workforce,1.7,ARG,3278.0
Crime and Theft,0.7,ARG,3284.0
Foreign Currency Regulations,0.5,ARG,3285.0
Insufficient Capacity to Innovate,0.4,ARG,
Poor Public Health,0.2,ARG,3288.0
Access to Financing,13.0,ARM,3275.0
Tax Rates,12.9,ARM,3282.0
Tax Regulations,11.5,ARM,3283.0
Corruption,9.9,ARM,3276.0
Inefficient Government Bureaucracy,8.5,ARM,3279.0
Foreign Currency Regulations,8.5,ARM,3285.0
Inadequately Educated Workforce,7.7,ARM,3278.0
Inadequate Supply of Infrastructure,6.9,ARM,3277.0
Insufficient Capacity to Innovate,6.2,ARM,
Inflation,5.9,ARM,3287.0
Policy Instability,3.3,ARM,3280.0
Poor Work Ethic in Labor Force,2.5,ARM,3281.0
Restrictive Labor Regulations,1.3,ARM,3289.0
Government Instability/Coups,1.0,ARM,3286.0
Poor Public Health,0.6,ARM,3288.0
Crime and Theft,0.3,ARM,3284.0
Restrictive Labor Regulations,20.3,AUS,3289.0
Tax Rates,14.5,AUS,3282.0
Inefficient Government Bureaucracy,11.7,AUS,3279.0
Policy Instability,10.2,AUS,3280.0
Poor Work Ethic in Labor Force,8.2,AUS,3281.0
Inadequate Supply of Infrastructure,7.6,AUS,3277.0
Tax Regulations,7.4,AUS,3283.0
Government Instability/Coups,7.1,AUS,3286.0
Insufficient Capacity to Innovate,4.6,AUS,
Inadequately Educated Workforce,4.4,AUS,3278.0
Access to Financing,2.2,AUS,3275.0
Foreign Currency Regulations,0.8,AUS,3285.0
Inflation,0.5,AUS,3287.0
Corruption,0.5,AUS,3276.0
Crime and Theft,0.1,AUS,3284.0
Poor Public Health,0.0,AUS,3288.0
Restrictive Labor Regulations,23.2,AUT,3289.0
Inefficient Government Bureaucracy,21.3,AUT,3279.0
Tax Rates,20.4,AUT,3282.0
Tax Regulations,11.3,AUT,3283.0
Inadequately Educated Workforce,5.8,AUT,3278.0
Insufficient Capacity to Innovate,5.1,AUT,
Poor Work Ethic in Labor Force,3.6,AUT,3281.0
Policy Instability,3.5,AUT,3280.0
Access to Financing,2.1,AUT,3275.0
Inadequate Supply of Infrastructure,1.4,AUT,3277.0
Inflation,0.7,AUT,3287.0
Government Instability/Coups,0.7,AUT,3286.0
Foreign Currency Regulations,0.4,AUT,3285.0
Poor Public Health,0.2,AUT,3288.0
Corruption,0.1,AUT,3276.0
Crime and Theft,0.0,AUT,3284.0
Access to Financing,16.5,AZE,3275.0
Foreign Currency Regulations,14.8,AZE,3285.0
Tax Regulations,11.5,AZE,3283.0
Inflation,10.4,AZE,3287.0
Inefficient Government Bureaucracy,7.0,AZE,3279.0
Inadequately Educated Workforce,6.7,AZE,3278.0
Corruption,5.4,AZE,3276.0
Tax Rates,5.1,AZE,3282.0
Poor Work Ethic in Labor Force,4.9,AZE,3281.0
Inadequate Supply of Infrastructure,4.4,AZE,3277.0
Crime and Theft,3.9,AZE,3284.0
Government Instability/Coups,2.6,AZE,3286.0
Poor Public Health,2.5,AZE,3288.0
Restrictive Labor Regulations,2.4,AZE,3289.0
Policy Instability,1.7,AZE,3280.0
Insufficient Capacity to Innovate,0.3,AZE,
Restrictive Labor Regulations,16.4,BHR,3289.0
Inefficient Government Bureaucracy,12.9,BHR,3279.0
Access to Financing,12.0,BHR,3275.0
Inadequately Educated Workforce,9.4,BHR,3278.0
Poor Work Ethic in Labor Force,9.0,BHR,3281.0
Insufficient Capacity to Innovate,8.9,BHR,
Policy Instability,6.6,BHR,3280.0
Inadequate Supply of Infrastructure,6.1,BHR,3277.0
Corruption,4.7,BHR,3276.0
Foreign Currency Regulations,2.9,BHR,3285.0
Inflation,2.7,BHR,3287.0
Tax Rates,2.6,BHR,3282.0
Government Instability/Coups,2.2,BHR,3286.0
Tax Regulations,1.4,BHR,3283.0
Crime and Theft,1.4,BHR,3284.0
Poor Public Health,0.9,BHR,3288.0
Corruption,15.7,BGD,3276.0
Inadequate Supply of Infrastructure,14.4,BGD,3277.0
Inefficient Government Bureaucracy,11.7,BGD,3279.0
Inadequately Educated Workforce,11.5,BGD,3278.0
Poor Work Ethic in Labor Force,8.3,BGD,3281.0
Access to Financing,7.5,BGD,3275.0
Policy Instability,5.8,BGD,3280.0
Tax Rates,4.5,BGD,3282.0
Government Instability/Coups,4.3,BGD,3286.0
Crime and Theft,3.6,BGD,3284.0
Tax Regulations,3.5,BGD,3283.0
Insufficient Capacity to Innovate,3.0,BGD,
Poor Public Health,2.0,BGD,3288.0
Foreign Currency Regulations,1.9,BGD,3285.0
Inflation,1.6,BGD,3287.0
Restrictive Labor Regulations,0.5,BGD,3289.0
Tax Rates,23.7,BEL,3282.0
Restrictive Labor Regulations,16.1,BEL,3289.0
Tax Regulations,16.0,BEL,3283.0
Inefficient Government Bureaucracy,14.6,BEL,3279.0
Insufficient Capacity to Innovate,6.4,BEL,
Policy Instability,5.2,BEL,3280.0
Access to Financing,5.0,BEL,3275.0
Inadequate Supply of Infrastructure,4.4,BEL,3277.0
Inadequately Educated Workforce,4.1,BEL,3278.0
Government Instability/Coups,1.7,BEL,3286.0
Poor Work Ethic in Labor Force,1.6,BEL,3281.0
Inflation,0.4,BEL,3287.0
Corruption,0.4,BEL,3276.0
Poor Public Health,0.3,BEL,3288.0
Foreign Currency Regulations,0.1,BEL,3285.0
Crime and Theft,0.0,BEL,3284.0
Access to Financing,23.8,BEN,3275.0
Corruption,14.3,BEN,3276.0
Tax Rates,14.0,BEN,3282.0
Inefficient Government Bureaucracy,7.9,BEN,3279.0
Policy Instability,7.4,BEN,3280.0
Inadequate Supply of Infrastructure,5.0,BEN,3277.0
Inflation,4.7,BEN,3287.0
Inadequately Educated Workforce,4.1,BEN,3278.0
Insufficient Capacity to Innovate,3.9,BEN,
Poor Work Ethic in Labor Force,3.7,BEN,3281.0
Tax Regulations,3.2,BEN,3283.0
Foreign Currency Regulations,2.9,BEN,3285.0
Crime and Theft,1.8,BEN,3284.0
Government Instability/Coups,1.8,BEN,3286.0
Restrictive Labor Regulations,1.1,BEN,3289.0
Poor Public Health,0.4,BEN,3288.0
Access to Financing,16.4,BTN,3275.0
Restrictive Labor Regulations,14.1,BTN,3289.0
Inadequate Supply of Infrastructure,10.8,BTN,3277.0
Poor Work Ethic in Labor Force,10.5,BTN,3281.0
Foreign Currency Regulations,8.2,BTN,3285.0
Inadequately Educated Workforce,8.0,BTN,3278.0
Insufficient Capacity to Innovate,7.4,BTN,
Inefficient Government Bureaucracy,5.4,BTN,3279.0
Tax Regulations,5.2,BTN,3283.0
Tax Rates,4.6,BTN,3282.0
Policy Instability,3.5,BTN,3280.0
Corruption,1.6,BTN,3276.0
Inflation,1.5,BTN,3287.0
Crime and Theft,1.3,BTN,3284.0
Government Instability/Coups,1.2,BTN,3286.0
Poor Public Health,0.3,BTN,3288.0
Inefficient Government Bureaucracy,14.2,BIH,3279.0
Corruption,11.5,BIH,3276.0
Tax Rates,10.5,BIH,3282.0
Policy Instability,9.7,BIH,3280.0
Government Instability/Coups,9.3,BIH,3286.0
Access to Financing,8.8,BIH,3275.0
Tax Regulations,6.9,BIH,3283.0
Restrictive Labor Regulations,6.5,BIH,3289.0
Crime and Theft,5.6,BIH,3284.0
Poor Work Ethic in Labor Force,5.1,BIH,3281.0
Inadequately Educated Workforce,3.7,BIH,3278.0
Inadequate Supply of Infrastructure,2.6,BIH,3277.0
Insufficient Capacity to Innovate,2.5,BIH,
Foreign Currency Regulations,1.6,BIH,3285.0
Inflation,0.9,BIH,3287.0
Poor Public Health,0.4,BIH,3288.0
Poor Work Ethic in Labor Force,19.0,BWA,3281.0
Access to Financing,11.1,BWA,3275.0
Corruption,10.5,BWA,3276.0
Restrictive Labor Regulations,10.0,BWA,3289.0
Inefficient Government Bureaucracy,8.8,BWA,3279.0
Inadequately Educated Workforce,8.7,BWA,3278.0
Inadequate Supply of Infrastructure,8.4,BWA,3277.0
Insufficient Capacity to Innovate,7.7,BWA,
Crime and Theft,3.6,BWA,3284.0
Tax Rates,3.0,BWA,3282.0
Policy Instability,2.3,BWA,3280.0
Government Instability/Coups,2.1,BWA,3286.0
Poor Public Health,2.0,BWA,3288.0
Inflation,1.2,BWA,3287.0
Foreign Currency Regulations,0.9,BWA,3285.0
Tax Regulations,0.6,BWA,3283.0
Tax Rates,18.6,BRA,3282.0
Restrictive Labor Regulations,12.5,BRA,3289.0
Corruption,12.3,BRA,3276.0
Inefficient Government Bureaucracy,12.0,BRA,3279.0
Inadequate Supply of Infrastructure,10.4,BRA,3277.0
Policy Instability,7.4,BRA,3280.0
Tax Regulations,5.4,BRA,3283.0
Access to Financing,5.2,BRA,3275.0
Government Instability/Coups,4.2,BRA,3286.0
Inadequately Educated Workforce,4.0,BRA,3278.0
Inflation,2.1,BRA,3287.0
Crime and Theft,1.9,BRA,3284.0
Insufficient Capacity to Innovate,1.8,BRA,
Poor Work Ethic in Labor Force,1.1,BRA,3281.0
Poor Public Health,1.1,BRA,3288.0
Foreign Currency Regulations,0.1,BRA,3285.0
Access to Financing,17.6,BRN,3275.0
Inefficient Government Bureaucracy,15.2,BRN,3279.0
Poor Work Ethic in Labor Force,14.4,BRN,3281.0
Insufficient Capacity to Innovate,12.2,BRN,
Inadequate Supply of Infrastructure,11.9,BRN,3277.0
Restrictive Labor Regulations,9.5,BRN,3289.0
Inadequately Educated Workforce,7.3,BRN,3278.0
Policy Instability,6.8,BRN,3280.0
Tax Regulations,1.5,BRN,3283.0
Inflation,1.3,BRN,3287.0
Government Instability/Coups,0.9,BRN,3286.0
Tax Rates,0.8,BRN,3282.0
Foreign Currency Regulations,0.3,BRN,3285.0
Poor Public Health,0.2,BRN,3288.0
Crime and Theft,0.2,BRN,3284.0
Corruption,0.0,BRN,3276.0
Corruption,17.8,BGR,3276.0
Inefficient Government Bureaucracy,12.0,BGR,3279.0
Tax Rates,9.3,BGR,3282.0
Poor Work Ethic in Labor Force,8.8,BGR,3281.0
Access to Financing,8.5,BGR,3275.0
Inadequately Educated Workforce,8.2,BGR,3278.0
Policy Instability,6.7,BGR,3280.0
Government Instability/Coups,5.9,BGR,3286.0
Tax Regulations,5.3,BGR,3283.0
Restrictive Labor Regulations,4.3,BGR,3289.0
Inadequate Supply of Infrastructure,3.4,BGR,3277.0
Inflation,3.3,BGR,3287.0
Insufficient Capacity to Innovate,2.9,BGR,
Crime and Theft,2.5,BGR,3284.0
Poor Public Health,0.8,BGR,3288.0
Foreign Currency Regulations,0.3,BGR,3285.0
Access to Financing,23.6,BDI,3275.0
Corruption,12.1,BDI,3276.0
Inflation,12.0,BDI,3287.0
Policy Instability,11.6,BDI,3280.0
Government Instability/Coups,7.8,BDI,3286.0
Foreign Currency Regulations,7.1,BDI,3285.0
Tax Rates,6.5,BDI,3282.0
Inadequate Supply of Infrastructure,6.0,BDI,3277.0
Inefficient Government Bureaucracy,3.2,BDI,3279.0
Inadequately Educated Workforce,2.4,BDI,3278.0
Poor Work Ethic in Labor Force,1.8,BDI,3281.0
Tax Regulations,1.6,BDI,3283.0
Restrictive Labor Regulations,1.5,BDI,3289.0
Insufficient Capacity to Innovate,1.4,BDI,
Crime and Theft,1.4,BDI,3284.0
Poor Public Health,0.1,BDI,3288.0
Corruption,15.4,KHM,3276.0
Inadequately Educated Workforce,10.9,KHM,3278.0
Policy Instability,8.8,KHM,3280.0
Inadequate Supply of Infrastructure,8.4,KHM,3277.0
Crime and Theft,7.6,KHM,3284.0
Tax Rates,7.3,KHM,3282.0
Tax Regulations,6.5,KHM,3283.0
Insufficient Capacity to Innovate,6.0,KHM,
Poor Public Health,5.9,KHM,3288.0
Inefficient Government Bureaucracy,5.8,KHM,3279.0
Poor Work Ethic in Labor Force,5.0,KHM,3281.0
Access to Financing,4.5,KHM,3275.0
Government Instability/Coups,4.1,KHM,3286.0
Inflation,3.1,KHM,3287.0
Restrictive Labor Regulations,0.4,KHM,3289.0
Foreign Currency Regulations,0.4,KHM,3285.0
Corruption,18.1,CMR,3276.0
Access to Financing,16.0,CMR,3275.0
Tax Rates,15.5,CMR,3282.0
Tax Regulations,10.4,CMR,3283.0
Inadequate Supply of Infrastructure,8.9,CMR,3277.0
Inadequately Educated Workforce,6.0,CMR,3278.0
Inefficient Government Bureaucracy,5.4,CMR,3279.0
Policy Instability,5.0,CMR,3280.0
Insufficient Capacity to Innovate,3.6,CMR,
Foreign Currency Regulations,3.3,CMR,3285.0
Restrictive Labor Regulations,2.1,CMR,3289.0
Inflation,1.9,CMR,3287.0
Poor Work Ethic in Labor Force,1.6,CMR,3281.0
Crime and Theft,1.0,CMR,3284.0
Poor Public Health,0.9,CMR,3288.0
Government Instability/Coups,0.2,CMR,3286.0
Inefficient Government Bureaucracy,19.3,CAN,3279.0
Tax Rates,15.8,CAN,3282.0
Insufficient Capacity to Innovate,14.4,CAN,
Inadequate Supply of Infrastructure,9.7,CAN,3277.0
Tax Regulations,9.1,CAN,3283.0
Policy Instability,7.9,CAN,3280.0
Restrictive Labor Regulations,5.8,CAN,3289.0
Access to Financing,5.8,CAN,3275.0
Inadequately Educated Workforce,4.5,CAN,3278.0
Poor Work Ethic in Labor Force,2.9,CAN,3281.0
Government Instability/Coups,1.7,CAN,3286.0
Inflation,1.2,CAN,3287.0
Foreign Currency Regulations,1.2,CAN,3285.0
Corruption,0.7,CAN,3276.0
Poor Public Health,0.0,CAN,3288.0
Crime and Theft,0.0,CAN,3284.0
Access to Financing,22.5,CPV,3275.0
Inefficient Government Bureaucracy,13.7,CPV,3279.0
Tax Rates,13.2,CPV,3282.0
Inadequately Educated Workforce,8.2,CPV,3278.0
Inadequate Supply of Infrastructure,6.1,CPV,3277.0
Restrictive Labor Regulations,5.8,CPV,3289.0
Poor Work Ethic in Labor Force,5.3,CPV,3281.0
Insufficient Capacity to Innovate,5.0,CPV,
Crime and Theft,4.9,CPV,3284.0
Tax Regulations,4.6,CPV,3283.0
Poor Public Health,3.7,CPV,3288.0
Corruption,3.3,CPV,3276.0
Inflation,1.7,CPV,3287.0
Policy Instability,1.0,CPV,3280.0
Foreign Currency Regulations,0.9,CPV,3285.0
Government Instability/Coups,0.1,CPV,3286.0
Access to Financing,21.3,TCD,3275.0
Corruption,17.9,TCD,3276.0
Tax Rates,14.1,TCD,3282.0
Policy Instability,12.0,TCD,3280.0
Government Instability/Coups,6.1,TCD,3286.0
